ANG,FR
short,petit
tall,grand
big,gros
large,large
little,petit
long,long
thin,mince
soft,doux
sharp,net
blurry,flou
bold,osé
devoted,dévoué
loving,aimant
clever,intelligent
smart,intelligent
sympathetic,compatissant
believing,croyant
supportive,qui soutient
involved,impliqué
sarcastic,sarcastique
narcissistic,narcissique
mysterious,mystérieux
obnoxiou,insupportable
foolish,bête
light,léger
heavy,lourd
religious,religieux
democratic,démocratique
political,politique
